flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
c3b982c3f3,cross_source_income,BLOCKER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2022,bea_income_growth,"bea_income_growth +8.2% vs qcew_pay_growth +6.0% (centered diff +4.1%, z +1.6); verify boundary/source before publishing",False
ea434e4429,cross_source_income,BLOCKER,36420,"Oklahoma City, OK",2022,bea_income_growth,"bea_income_growth +7.0% vs qcew_pay_growth +4.6% (centered diff +4.3%, z +1.6); verify boundary/source before publishing",False
452b78f032,cross_source_income,BLOCKER,41860,"San Francisco-Oakland-Fremont, CA",2022,bea_income_growth,"bea_income_growth -1.6% vs qcew_pay_growth -8.3% (centered diff +8.5%, z +3.3); verify boundary/source before publishing",False
8cfde31525,cross_source_income,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2022,bea_income_growth,"bea_income_growth -2.2% vs qcew_pay_growth -9.4% (centered diff +9.1%, z +3.5); verify boundary/source before publishing",False
af6983bb2f,cross_source_income,BLOCKER,42660,"Seattle-Tacoma-Bellevue, WA",2022,bea_income_growth,"bea_income_growth +3.4% vs qcew_pay_growth +0.2% (centered diff +5.2%, z +2.0); verify boundary/source before publishing",False
0b2fa6edec,cross_source_income,BLOCKER,46140,"Tulsa, OK",2022,bea_income_growth,"bea_income_growth +8.8% vs qcew_pay_growth +4.9% (centered diff +5.8%, z +2.2); verify boundary/source before publishing",False
b228f010fc,cross_source_income,BLOCKER,48620,"Wichita, KS",2022,bea_income_growth,"bea_income_growth -0.2% vs qcew_pay_growth +6.7% (centered diff -5.0%, z -1.9); verify boundary/source before publishing",False
dc759a3bc8,cross_source_income,BLOCKER,28140,"Kansas City, MO-KS",2023,bea_income_growth,"bea_income_growth +1.4% vs qcew_pay_growth +3.7% (centered diff -4.5%, z -3.3); verify boundary/source before publishing",False
3ee8302bc6,cross_source_income,BLOCKER,33700,"Modesto, CA",2023,bea_income_growth,"bea_income_growth +2.5% vs qcew_pay_growth +4.4% (centered diff -4.1%, z -3.1); verify boundary/source before publishing",False
46de0d630e,cross_source_income,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2024,bea_income_growth,"bea_income_growth +4.9% vs qcew_pay_growth +9.2% (centered diff -4.7%, z -3.4); verify boundary/source before publishing",False
d5836c0428,cross_source_income,BLOCKER,23420,"Fresno, CA",2024,bea_income_growth,"bea_income_growth +8.0% vs qcew_pay_growth +3.4% (centered diff +4.2%, z +3.0); verify boundary/source before publishing",False
