cbsa_code,cbsa_title,fred_id,year,ours,fred,pct_diff,note
17140,"Cincinnati, OH-KY-IN",CINC139BPPRIV,2023,6234,5953.0,0.04720309087854857,
17140,"Cincinnati, OH-KY-IN",CINC139BPPRIV,2024,7089,6985.0,0.014889047959914192,
17410,"Cleveland, OH",CLEV439BPPRIV,2023,3641,2995.0,0.21569282136894818,
17820,"Colorado Springs, CO",COLO808BPPRIV,2023,5277,5293.0,-0.0030228603816361277,
17820,"Colorado Springs, CO",COLO808BPPRIV,2024,3994,3992.0,0.0005010020040079333,
17900,"Columbia, SC",COLU945BPPRIV,2023,5465,5490.0,-0.004553734061930825,
17900,"Columbia, SC",COLU945BPPRIV,2024,5892,6024.0,-0.021912350597609542,
18140,"Columbus, OH",COLU139BPPRIV,2023,11440,11375.0,0.005714285714285783,
18140,"Columbus, OH",COLU139BPPRIV,2024,13962,13405.0,0.04155165982842224,
19100,"Dallas-Fort Worth-Arlington, TX",DALL148BPPRIV,2023,68029,62552.0,0.08755915078654564,
19100,"Dallas-Fort Worth-Arlington, TX",DALL148BPPRIV,2024,71788,70339.0,0.020600235999943095,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",DELT612BPPRIV,2023,7082,7267.0,-0.02545754781890741,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",DELT612BPPRIV,2024,5991,5954.0,0.00621430970775938,
19740,"Denver-Aurora-Centennial, CO",DENV708BPPRIV,2023,20650,21447.0,-0.03716137455121926,
19740,"Denver-Aurora-Centennial, CO",DENV708BPPRIV,2024,15570,15762.0,-0.012181195279786783,
19780,"Des Moines-West Des Moines, IA",DESM719BPPRIV,2023,5000,4997.0,0.0006003602161297472,
19780,"Des Moines-West Des Moines, IA",DESM719BPPRIV,2024,5064,5050.0,0.0027722772277227747,
19820,"Detroit-Warren-Dearborn, MI",DETR826BPPRIV,2023,6734,6151.0,0.09478133636807029,
19820,"Detroit-Warren-Dearborn, MI",DETR826BPPRIV,2024,7704,7361.0,0.046596929764977535,
20500,"Durham-Chapel Hill, NC",DURH537BPPRIV,2023,6991,6343.0,0.10215986126438592,
20500,"Durham-Chapel Hill, NC",DURH537BPPRIV,2024,3858,4911.0,-0.2144166157605376,
24340,"Grand Rapids-Wyoming-Kentwood, MI",GRAN326BPPRIV,2023,3754,3574.0,0.05036373810856176,
24340,"Grand Rapids-Wyoming-Kentwood, MI",GRAN326BPPRIV,2024,3861,3916.0,-0.014044943820224698,
24660,"Greensboro-High Point, NC",GREE637BPPRIV,2023,3507,3477.0,0.008628127696289845,
24660,"Greensboro-High Point, NC",GREE637BPPRIV,2024,4976,4955.0,0.0042381432896063664,
24860,"Greenville-Anderson-Greer, SC",GREE845BPPRIV,2023,7684,7825.0,-0.018019169329073437,
24860,"Greenville-Anderson-Greer, SC",GREE845BPPRIV,2024,8875,8848.0,0.0030515370705244127,
26420,"Houston-Pasadena-The Woodlands, TX",HOUS448BPPRIV,2023,69303,67376.0,0.0286006886725243,
26420,"Houston-Pasadena-The Woodlands, TX",HOUS448BPPRIV,2024,65747,65155.0,0.0090860256311871,
26900,"Indianapolis-Carmel-Greenwood, IN",INDI918BPPRIV,2023,12479,12232.0,0.020192936559843,
26900,"Indianapolis-Carmel-Greenwood, IN",INDI918BPPRIV,2024,11788,12109.0,-0.02650920802708734,
27260,"Jacksonville, FL",JACK212BPPRIV,2023,20326,20175.0,0.007484510532837607,
27260,"Jacksonville, FL",JACK212BPPRIV,2024,15002,15350.0,-0.022671009771986994,
28140,"Kansas City, MO-KS",KANS129BPPRIV,2023,7514,7623.0,-0.01429883248065067,
28140,"Kansas City, MO-KS",KANS129BPPRIV,2024,9148,9463.0,-0.03328754094895914,
29460,"Lakeland-Winter Haven, FL",LAKE412BPPRIV,2023,12513,12472.0,0.003287363694675971,
29460,"Lakeland-Winter Haven, FL",LAKE412BPPRIV,2024,10384,10411.0,-0.0025934108154835878,
29820,"Las Vegas-Henderson-North Las Vegas, NV",LASV832BPPRIV,2023,13073,13078.0,-0.0003823214558801302,
29820,"Las Vegas-Henderson-North Las Vegas, NV",LASV832BPPRIV,2024,14754,13350.0,0.1051685393258428,
31080,"Los Angeles-Long Beach-Anaheim, CA",LOSA106BPPRIV,2023,30767,28969.0,0.06206634678449374,
31080,"Los Angeles-Long Beach-Anaheim, CA",LOSA106BPPRIV,2024,26781,27246.0,-0.017066725390883053,
31540,"Madison, WI",MADI555BPPRIV,2023,5361,4681.0,0.14526810510574673,
31540,"Madison, WI",MADI555BPPRIV,2024,5838,5903.0,-0.01101135016093513,
32580,"McAllen-Edinburg-Mission, TX",MCAL548BPPRIV,2023,6899,6558.0,0.05199756023177793,
