month,cbsa_code,yoy
2021-02,12260,0.1034
2021-03,12260,0.0955
2021-04,12260,0.105
2021-05,12260,0.1141
2021-06,12260,0.1282
2021-07,12260,0.1264
2021-08,12260,0.1306
2021-09,12260,0.1254
2021-10,12260,0.132
2021-11,12260,0.1349
2021-12,12260,0.1316
2022-01,12260,0.1257
2022-02,12260,0.133
2022-03,12260,0.1399
2022-04,12260,0.1332
2022-05,12260,0.1195
2022-06,12260,0.1054
2022-07,12260,0.0999
2022-08,12260,0.0835
2022-09,12260,0.0756
2022-10,12260,0.0599
2022-11,12260,0.0586
2022-12,12260,0.0604
2023-01,12260,0.0682
2023-02,12260,0.0585
2023-03,12260,0.0526
2023-04,12260,0.0488
2023-05,12260,0.0517
2023-06,12260,0.0484
2023-07,12260,0.0492
2023-08,12260,0.0509
2023-09,12260,0.0562
2023-10,12260,0.0586
2023-11,12260,0.055
2023-12,12260,0.0505
2024-01,12260,0.0385
2024-02,12260,0.0349
2024-03,12260,0.0258
2024-04,12260,0.0288
2024-05,12260,0.026
2024-06,12260,0.0311
2024-07,12260,0.0259
2024-08,12260,0.0267
2024-09,12260,0.0262
2024-10,12260,0.0356
2024-11,12260,0.0404
2024-12,12260,0.0437
2025-01,12260,0.0503
2025-02,12260,0.0578
2025-03,12260,0.064
2025-04,12260,0.0617
2025-05,12260,0.0572
2025-06,12260,0.053
2025-07,12260,0.0542
2025-08,12260,0.0563
2025-09,12260,0.0516
2025-10,12260,0.0402
2025-11,12260,0.0303
2025-12,12260,0.0225
2026-01,12260,0.0178
2026-02,12260,0.0101
2026-03,12260,0.0102
2026-04,12260,0.0055
2026-05,12260,0.0102
2018-01,12420,0.0225
2018-02,12420,0.0216
2018-03,12420,0.0157
2018-04,12420,0.0163
2018-05,12420,0.0172
2018-06,12420,0.0229
2018-07,12420,0.0278
2018-08,12420,0.0324
2018-09,12420,0.0362
2018-10,12420,0.0404
2018-11,12420,0.0431
2018-12,12420,0.0448
2019-01,12420,0.046
2019-02,12420,0.0449
2019-03,12420,0.0486
2019-04,12420,0.0478
2019-05,12420,0.0502
2019-06,12420,0.0464
2019-07,12420,0.046
2019-08,12420,0.0464
2019-09,12420,0.0475
2019-10,12420,0.0455
2019-11,12420,0.0397
2019-12,12420,0.0399
2020-01,12420,0.0422
2020-02,12420,0.043
2020-03,12420,0.0428
2020-04,12420,0.0347
2020-05,12420,0.022
2020-06,12420,0.011
2020-07,12420,0.0028
2020-08,12420,-0.0035
2020-09,12420,-0.0097
2020-10,12420,-0.0105
2020-11,12420,-0.0052
2020-12,12420,-0.0018
2021-01,12420,0.0041
2021-02,12420,0.0108
2021-03,12420,0.0189
2021-04,12420,0.0398
2021-05,12420,0.0704
2021-06,12420,0.1066
2021-07,12420,0.139
2021-08,12420,0.1706
2021-09,12420,0.1984
2021-10,12420,0.2139
2021-11,12420,0.2169
2021-12,12420,0.2192
2022-01,12420,0.2125
2022-02,12420,0.2103
2022-03,12420,0.2014
2022-04,12420,0.194
2022-05,12420,0.1761
2022-06,12420,0.1559
2022-07,12420,0.133
2022-08,12420,0.104
2022-09,12420,0.079
2022-10,12420,0.0593
2022-11,12420,0.0481
2022-12,12420,0.0367
2023-01,12420,0.0323
2023-02,12420,0.0243
2023-03,12420,0.0223
2023-04,12420,0.0089
2023-05,12420,-0.0011
2023-06,12420,-0.0158
2023-07,12420,-0.0254
2023-08,12420,-0.0298
2023-09,12420,-0.0337
2023-10,12420,-0.0321
2023-11,12420,-0.0298
2023-12,12420,-0.0277
2024-01,12420,-0.0316
2024-02,12420,-0.0371
2024-03,12420,-0.0448
2024-04,12420,-0.044
2024-05,12420,-0.0433
2024-06,12420,-0.0381
2024-07,12420,-0.0362
2024-08,12420,-0.035
2024-09,12420,-0.0326
2024-10,12420,-0.0352
2024-11,12420,-0.0385
2024-12,12420,-0.0417
2025-01,12420,-0.0408
2025-02,12420,-0.0384
2025-03,12420,-0.0352
2025-04,12420,-0.0354
2025-05,12420,-0.0346
2025-06,12420,-0.0343
2025-07,12420,-0.0329
2025-08,12420,-0.0302
2025-09,12420,-0.0292
2025-10,12420,-0.0267
2025-11,12420,-0.0271
2025-12,12420,-0.0274
2026-01,12420,-0.0281
2026-02,12420,-0.0268
2026-03,12420,-0.0269
2026-04,12420,-0.0252
2026-05,12420,-0.0254
2018-01,12540,0.0364
2018-02,12540,0.0387
2018-03,12540,0.0392
2018-04,12540,0.0383
2018-05,12540,0.0371
2018-06,12540,0.0386
2018-07,12540,0.0408
2018-08,12540,0.0411
2018-09,12540,0.04
2018-10,12540,0.0444
2018-11,12540,0.0468
2018-12,12540,0.048
2019-01,12540,0.0475
2019-02,12540,0.0482
2019-03,12540,0.0541
2019-04,12540,0.0572
2019-05,12540,0.0579
2019-06,12540,0.0572
2019-07,12540,0.0581
2019-08,12540,0.0616
2019-09,12540,0.0589
2019-10,12540,0.0568
2019-11,12540,0.0569
2019-12,12540,0.0569
2020-01,12540,0.0557
2020-02,12540,0.0498
2020-03,12540,0.0461
2020-04,12540,0.0442
2020-05,12540,0.0433
2020-06,12540,0.0502
2020-07,12540,0.0626
2020-09,12540,0.0803
2020-10,12540,0.0856
2020-11,12540,0.0801
2020-12,12540,0.0902
2021-01,12540,0.1016
2021-02,12540,0.1094
2021-03,12540,0.1142
2021-04,12540,0.1148
2021-05,12540,0.1298
2021-06,12540,0.1321
2021-07,12540,0.1204
2021-09,12540,0.1274
2021-10,12540,0.137
2021-11,12540,0.1635
2021-12,12540,0.1625
2022-01,12540,0.1644
2022-02,12540,0.1724
2022-03,12540,0.1721
2022-04,12540,0.1824
2022-05,12540,0.1726
2022-06,12540,0.1684
2022-07,12540,0.1705
2022-08,12540,0.1599
2022-09,12540,0.1356
2022-10,12540,0.1181
2022-11,12540,0.0957
2022-12,12540,0.0819
2023-01,12540,0.0648
2023-02,12540,0.0521
2023-03,12540,0.0534
2023-04,12540,0.0482
2023-05,12540,0.041
2023-06,12540,0.0331
2023-07,12540,0.0303
2023-08,12540,0.0415
2023-09,12540,0.0419
2023-10,12540,0.042
2023-11,12540,0.0407
2023-12,12540,0.0479
2024-01,12540,0.0501
2024-02,12540,0.0512
2024-03,12540,0.0427
2024-04,12540,0.0405
2024-05,12540,0.041
2024-06,12540,0.0441
2024-07,12540,0.0389
2024-08,12540,0.0323
2024-09,12540,0.0316
2024-10,12540,0.0349
2024-11,12540,0.0385
2024-12,12540,0.0348
2025-01,12540,0.0395
2025-02,12540,0.0383
2025-03,12540,0.0414
2025-04,12540,0.033
2025-05,12540,0.0326
2025-06,12540,0.0309
2025-07,12540,0.0342
2025-08,12540,0.0328
2025-09,12540,0.0349
2025-10,12540,0.0312
2025-11,12540,0.0287
2025-12,12540,0.027
2026-01,12540,0.0225
2026-02,12540,0.0217
2026-03,12540,0.0188
2026-04,12540,0.0244
2026-05,12540,0.025
2018-01,12580,0.0177
2018-02,12580,0.0224
2018-03,12580,0.0185
2018-04,12580,0.0217
2018-05,12580,0.017
2018-06,12580,0.0131
2018-07,12580,0.0118
2018-08,12580,0.0149
2018-09,12580,0.0176
2018-10,12580,0.0183
2018-11,12580,0.0219
2018-12,12580,0.0232
2019-01,12580,0.0249
2019-02,12580,0.0211
2019-03,12580,0.0225
2019-04,12580,0.0214
2019-05,12580,0.0231
2019-06,12580,0.0253
