cbsa_code,cbsa_title,total_units,mf_units,total_units_reported,mf_units_reported,year
10740,"Albuquerque, NM",4335,329,4111,323,1993
10740,"Albuquerque, NM",6505,1821,5830,1791,1994
10740,"Albuquerque, NM",6581,1910,5634,1870,1995
10740,"Albuquerque, NM",5755,1035,4568,958,1996
10740,"Albuquerque, NM",6097,1588,4809,1512,1997
10740,"Albuquerque, NM",5366,388,4250,324,1998
10740,"Albuquerque, NM",5311,271,5102,271,1999
10740,"Albuquerque, NM",4773,70,4573,70,2000
10740,"Albuquerque, NM",5925,646,5685,646,2001
10740,"Albuquerque, NM",7022,1121,6257,1121,2002
10740,"Albuquerque, NM",7936,702,7936,702,2003
10740,"Albuquerque, NM",7455,324,6244,324,2004
10740,"Albuquerque, NM",7038,273,2840,107,2005
10740,"Albuquerque, NM",6822,730,3983,534,2006
10740,"Albuquerque, NM",4499,599,4060,599,2007
10740,"Albuquerque, NM",2555,452,770,0,2008
10740,"Albuquerque, NM",1692,143,517,0,2009
10740,"Albuquerque, NM",1764,181,336,0,2010
10740,"Albuquerque, NM",1634,251,144,0,2011
10740,"Albuquerque, NM",2084,647,1406,647,2012
10740,"Albuquerque, NM",2606,1061,1675,1061,2013
10740,"Albuquerque, NM",2543,336,1554,306,2014
10740,"Albuquerque, NM",2295,219,1493,169,2015
10740,"Albuquerque, NM",2465,500,1404,384,2016
10740,"Albuquerque, NM",2256,251,1002,0,2017
10740,"Albuquerque, NM",2186,75,1798,6,2018
10740,"Albuquerque, NM",2148,262,1383,188,2019
10740,"Albuquerque, NM",2014,68,1190,0,2020
10740,"Albuquerque, NM",4021,1410,3804,1314,2021
10740,"Albuquerque, NM",2852,942,2823,942,2022
10740,"Albuquerque, NM",2834,777,2834,777,2023
10740,"Albuquerque, NM",2876,762,2876,762,2024
10740,"Albuquerque, NM",2830,984,2708,984,2025
10780,"Alexandria, LA",60,0,56,0,1990
10780,"Alexandria, LA",115,0,110,0,1991
10780,"Alexandria, LA",223,24,223,24,1992
10780,"Alexandria, LA",271,60,263,60,1993
10780,"Alexandria, LA",368,0,368,0,1994
10780,"Alexandria, LA",333,32,326,32,1995
10780,"Alexandria, LA",436,65,430,65,1996
10780,"Alexandria, LA",331,0,325,0,1997
10780,"Alexandria, LA",500,96,494,96,1998
10780,"Alexandria, LA",510,90,393,0,1999
10780,"Alexandria, LA",441,61,352,0,2000
10780,"Alexandria, LA",449,89,343,8,2001
10780,"Alexandria, LA",534,102,534,102,2002
10780,"Alexandria, LA",580,39,580,39,2003
10780,"Alexandria, LA",685,0,574,0,2004
10780,"Alexandria, LA",710,0,289,0,2005
10780,"Alexandria, LA",951,0,705,0,2006
10780,"Alexandria, LA",572,0,408,0,2007
10780,"Alexandria, LA",382,8,283,8,2008
10780,"Alexandria, LA",396,0,396,0,2009
10780,"Alexandria, LA",434,72,398,72,2010
10780,"Alexandria, LA",376,74,124,0,2011
10780,"Alexandria, LA",482,121,44,0,2012
10780,"Alexandria, LA",402,8,186,8,2013
10780,"Alexandria, LA",323,0,197,0,2014
10780,"Alexandria, LA",289,0,286,0,2015
10780,"Alexandria, LA",390,0,390,0,2016
10780,"Alexandria, LA",302,0,269,0,2017
10780,"Alexandria, LA",305,0,261,0,2018
10780,"Alexandria, LA",333,0,333,0,2019
10780,"Alexandria, LA",313,0,168,0,2020
10780,"Alexandria, LA",289,0,195,0,2021
10780,"Alexandria, LA",353,0,353,0,2022
10780,"Alexandria, LA",241,0,107,0,2023
10780,"Alexandria, LA",241,0,16,0,2024
10780,"Alexandria, LA",273,0,36,0,2025
10900,"Allentown-Bethlehem-Easton, PA-NJ",2151,237,2144,237,1990
10900,"Allentown-Bethlehem-Easton, PA-NJ",2517,312,2450,312,1991
10900,"Allentown-Bethlehem-Easton, PA-NJ",3042,385,3019,385,1992
10900,"Allentown-Bethlehem-Easton, PA-NJ",3116,450,3008,450,1993
10900,"Allentown-Bethlehem-Easton, PA-NJ",2888,324,2836,324,1994
10900,"Allentown-Bethlehem-Easton, PA-NJ",2704,242,2552,242,1995
10900,"Allentown-Bethlehem-Easton, PA-NJ",2909,328,2735,328,1996
10900,"Allentown-Bethlehem-Easton, PA-NJ",2816,238,2721,213,1997
10900,"Allentown-Bethlehem-Easton, PA-NJ",3392,195,3236,195,1998
10900,"Allentown-Bethlehem-Easton, PA-NJ",4004,367,3815,367,1999
10900,"Allentown-Bethlehem-Easton, PA-NJ",3759,371,3571,371,2000
10900,"Allentown-Bethlehem-Easton, PA-NJ",4139,543,3827,538,2001
10900,"Allentown-Bethlehem-Easton, PA-NJ",4563,275,4090,265,2002
10900,"Allentown-Bethlehem-Easton, PA-NJ",4376,262,4376,262,2003
10900,"Allentown-Bethlehem-Easton, PA-NJ",4612,93,3953,78,2004
10900,"Allentown-Bethlehem-Easton, PA-NJ",4848,403,4222,369,2005
10900,"Allentown-Bethlehem-Easton, PA-NJ",4144,206,3495,134,2006
10900,"Allentown-Bethlehem-Easton, PA-NJ",2789,115,2017,68,2007
10900,"Allentown-Bethlehem-Easton, PA-NJ",1694,174,1533,141,2008
10900,"Allentown-Bethlehem-Easton, PA-NJ",1648,232,1563,202,2009
10900,"Allentown-Bethlehem-Easton, PA-NJ",1388,160,1268,129,2010
10900,"Allentown-Bethlehem-Easton, PA-NJ",1133,54,1018,11,2011
10900,"Allentown-Bethlehem-Easton, PA-NJ",1069,203,899,134,2012
10900,"Allentown-Bethlehem-Easton, PA-NJ",1350,164,1135,92,2013
10900,"Allentown-Bethlehem-Easton, PA-NJ",1801,734,1588,638,2014
10900,"Allentown-Bethlehem-Easton, PA-NJ",1356,406,1128,265,2015
10900,"Allentown-Bethlehem-Easton, PA-NJ",1263,163,1160,118,2016
10900,"Allentown-Bethlehem-Easton, PA-NJ",1118,158,882,114,2017
10900,"Allentown-Bethlehem-Easton, PA-NJ",1246,162,1209,144,2018
10900,"Allentown-Bethlehem-Easton, PA-NJ",1345,239,1245,239,2019
10900,"Allentown-Bethlehem-Easton, PA-NJ",1688,548,1501,523,2020
10900,"Allentown-Bethlehem-Easton, PA-NJ",2606,858,2255,633,2021
10900,"Allentown-Bethlehem-Easton, PA-NJ",2232,608,2181,608,2022
10900,"Allentown-Bethlehem-Easton, PA-NJ",1735,378,1659,378,2023
10900,"Allentown-Bethlehem-Easton, PA-NJ",2485,1050,2173,964,2024
10900,"Allentown-Bethlehem-Easton, PA-NJ",1974,711,1742,672,2025
11020,"Altoona, PA",337,21,328,21,1990
11020,"Altoona, PA",357,54,339,54,1991
11020,"Altoona, PA",372,54,372,54,1992
11020,"Altoona, PA",303,0,288,0,1993
11020,"Altoona, PA",276,0,276,0,1994
11020,"Altoona, PA",379,63,336,63,1995
11020,"Altoona, PA",259,6,230,6,1996
11020,"Altoona, PA",190,0,157,0,1997
11020,"Altoona, PA",395,132,374,132,1998
11020,"Altoona, PA",261,18,254,18,1999
11020,"Altoona, PA",226,0,220,0,2000
11020,"Altoona, PA",255,24,249,24,2001
11020,"Altoona, PA",322,60,322,60,2002
11020,"Altoona, PA",362,104,362,104,2003
11020,"Altoona, PA",496,185,485,185,2004
11020,"Altoona, PA",180,0,157,0,2005
11020,"Altoona, PA",193,0,171,0,2006
11020,"Altoona, PA",294,152,277,152,2007
11020,"Altoona, PA",195,0,195,0,2008
11020,"Altoona, PA",125,0,97,0,2009
11020,"Altoona, PA",159,7,150,7,2010
11020,"Altoona, PA",75,0,75,0,2011
11020,"Altoona, PA",97,10,97,10,2012
11020,"Altoona, PA",101,6,100,6,2013
11020,"Altoona, PA",100,8,99,8,2014
11020,"Altoona, PA",117,5,117,5,2015
11020,"Altoona, PA",183,41,183,41,2016
11020,"Altoona, PA",114,0,111,0,2017
11020,"Altoona, PA",101,0,101,0,2018
11020,"Altoona, PA",111,0,105,0,2019
11020,"Altoona, PA",96,0,95,0,2020
11020,"Altoona, PA",94,0,93,0,2021
11020,"Altoona, PA",123,52,119,52,2022
11020,"Altoona, PA",110,12,110,12,2023
11020,"Altoona, PA",87,6,83,6,2024
11020,"Altoona, PA",86,0,74,0,2025
11100,"Amarillo, TX",159,0,129,0,1990
11100,"Amarillo, TX",219,0,187,0,1991
11100,"Amarillo, TX",375,0,332,0,1992
11100,"Amarillo, TX",563,0,511,0,1993
11100,"Amarillo, TX",529,0,529,0,1994
11100,"Amarillo, TX",457,0,457,0,1995
11100,"Amarillo, TX",581,0,581,0,1996
11100,"Amarillo, TX",872,434,838,434,1997
11100,"Amarillo, TX",502,0,502,0,1998
11100,"Amarillo, TX",711,166,703,166,1999
11100,"Amarillo, TX",560,6,552,6,2000
11100,"Amarillo, TX",1014,366,1012,366,2001
11100,"Amarillo, TX",921,184,918,184,2002
11100,"Amarillo, TX",1053,120,1053,120,2003
11100,"Amarillo, TX",1014,267,1014,267,2004
11100,"Amarillo, TX",1180,294,1180,294,2005
11100,"Amarillo, TX",1184,472,1184,472,2006
11100,"Amarillo, TX",1316,632,1267,611,2007
11100,"Amarillo, TX",768,252,768,252,2008
11100,"Amarillo, TX",645,24,645,24,2009
11100,"Amarillo, TX",931,339,931,339,2010
11100,"Amarillo, TX",704,19,704,19,2011
11100,"Amarillo, TX",1630,930,1624,930,2012
11100,"Amarillo, TX",898,266,897,266,2013
11100,"Amarillo, TX",918,372,918,372,2014
11100,"Amarillo, TX",880,312,880,312,2015
11100,"Amarillo, TX",740,0,740,0,2016
11100,"Amarillo, TX",775,204,775,204,2017
11100,"Amarillo, TX",750,101,750,101,2018
11100,"Amarillo, TX",584,0,576,0,2019
11100,"Amarillo, TX",1022,285,1022,285,2020
11100,"Amarillo, TX",736,16,731,16,2021
11100,"Amarillo, TX",982,110,978,110,2022
11100,"Amarillo, TX",672,55,638,55,2023
11100,"Amarillo, TX",1297,650,1262,650,2024
11100,"Amarillo, TX",994,312,955,312,2025
11180,"Ames, IA",317,151,317,151,1990
11180,"Ames, IA",387,162,387,162,1991
11180,"Ames, IA",473,186,471,186,1992
11180,"Ames, IA",579,252,577,252,1993
11180,"Ames, IA",551,200,549,200,1994
11180,"Ames, IA",574,260,572,260,1995
11180,"Ames, IA",530,164,528,164,1996
11180,"Ames, IA",778,330,774,330,1997
11180,"Ames, IA",930,440,928,440,1998
11180,"Ames, IA",940,523,938,523,1999
11180,"Ames, IA",776,402,767,402,2000
11180,"Ames, IA",703,383,701,383,2001
11180,"Ames, IA",988,585,988,585,2002
11180,"Ames, IA",829,361,829,361,2003
11180,"Ames, IA",856,398,847,398,2004
11180,"Ames, IA",1057,561,1045,561,2005
11180,"Ames, IA",574,202,570,202,2006
11180,"Ames, IA",469,116,465,116,2007
11180,"Ames, IA",412,237,411,237,2008
11180,"Ames, IA",157,0,142,0,2009
11180,"Ames, IA",199,74,182,74,2010
11180,"Ames, IA",499,356,494,356,2011
11180,"Ames, IA",484,291,465,291,2012
11180,"Ames, IA",574,286,545,286,2013
11180,"Ames, IA",583,350,574,350,2014
11180,"Ames, IA",616,354,613,354,2015
11180,"Ames, IA",777,475,776,475,2016
11180,"Ames, IA",1014,681,1011,681,2017
11180,"Ames, IA",687,340,645,340,2018
11180,"Ames, IA",549,272,435,272,2019
11180,"Ames, IA",270,8,244,8,2020
11180,"Ames, IA",394,110,378,110,2021
11180,"Ames, IA",328,32,315,32,2022
11180,"Ames, IA",262,8,238,8,2023
11180,"Ames, IA",273,50,262,50,2024
11180,"Ames, IA",392,157,380,157,2025
11200,"Amherst Town-Northampton, MA",716,188,684,188,1990
11200,"Amherst Town-Northampton, MA",397,0,308,0,1991
11200,"Amherst Town-Northampton, MA",425,0,405,0,1992
11200,"Amherst Town-Northampton, MA",496,24,435,24,1993
11200,"Amherst Town-Northampton, MA",420,0,289,0,1994
11200,"Amherst Town-Northampton, MA",441,61,367,61,1995
11200,"Amherst Town-Northampton, MA",448,6,403,6,1996
11200,"Amherst Town-Northampton, MA",410,24,364,24,1997
11200,"Amherst Town-Northampton, MA",407,8,352,8,1998
11200,"Amherst Town-Northampton, MA",432,0,395,0,1999
11200,"Amherst Town-Northampton, MA",370,12,337,12,2000
11200,"Amherst Town-Northampton, MA",401,8,373,8,2001
11200,"Amherst Town-Northampton, MA",503,22,424,22,2002
11200,"Amherst Town-Northampton, MA",552,80,552,80,2003
11200,"Amherst Town-Northampton, MA",521,16,463,16,2004
11200,"Amherst Town-Northampton, MA",539,53,479,53,2005
11200,"Amherst Town-Northampton, MA",419,55,388,55,2006
11200,"Amherst Town-Northampton, MA",353,19,327,19,2007
11200,"Amherst Town-Northampton, MA",224,37,221,37,2008
11200,"Amherst Town-Northampton, MA",194,0,135,0,2009
11200,"Amherst Town-Northampton, MA",248,12,188,12,2010
11200,"Amherst Town-Northampton, MA",144,18,132,18,2011
11200,"Amherst Town-Northampton, MA",179,27,133,0,2012
11200,"Amherst Town-Northampton, MA",197,16,166,0,2013
11200,"Amherst Town-Northampton, MA",193,21,156,6,2014
11200,"Amherst Town-Northampton, MA",188,15,148,0,2015
11200,"Amherst Town-Northampton, MA",257,13,160,0,2016
11200,"Amherst Town-Northampton, MA",289,74,233,61,2017
11200,"Amherst Town-Northampton, MA",368,134,331,134,2018
11200,"Amherst Town-Northampton, MA",451,291,203,119,2019
11200,"Amherst Town-Northampton, MA",349,175,112,0,2020
11200,"Amherst Town-Northampton, MA",398,234,225,100,2021
11200,"Amherst Town-Northampton, MA",411,275,253,160,2022
11200,"Amherst Town-Northampton, MA",282,158,176,76,2023
11200,"Amherst Town-Northampton, MA",318,162,159,44,2024
11200,"Amherst Town-Northampton, MA",291,136,128,0,2025
11260,"Anchorage, AK",402,0,402,0,1990
11260,"Anchorage, AK",636,0,636,0,1991
11260,"Anchorage, AK",694,0,694,0,1992
11260,"Anchorage, AK",1228,135,1228,135,1993
11260,"Anchorage, AK",955,154,955,154,1994
11260,"Anchorage, AK",1169,155,1169,155,1995
11260,"Anchorage, AK",1412,345,1412,345,1996
11260,"Anchorage, AK",1509,162,1509,162,1997
11260,"Anchorage, AK",1891,239,1759,223,1998
11260,"Anchorage, AK",1331,304,1331,304,1999
11260,"Anchorage, AK",1310,181,1310,181,2000
11260,"Anchorage, AK",2146,250,2146,250,2001
11260,"Anchorage, AK",2196,305,2196,305,2002
11260,"Anchorage, AK",2547,529,2547,529,2003
11260,"Anchorage, AK",2042,540,1988,540,2004
11260,"Anchorage, AK",1899,440,1831,440,2005
11260,"Anchorage, AK",1588,669,1545,669,2006
11260,"Anchorage, AK",970,312,941,312,2007
11260,"Anchorage, AK",460,64,439,64,2008
11260,"Anchorage, AK",551,161,545,161,2009
11260,"Anchorage, AK",533,74,474,53,2010
11260,"Anchorage, AK",524,91,519,91,2011
11260,"Anchorage, AK",575,12,571,12,2012
11260,"Anchorage, AK",576,20,568,20,2013
