cbsa_code,cbsa_title,year,n_indicators,score,bucket_Demand,bucket_Supply,bucket_Affordability,bucket_Momentum,bucket_Resilience,rank
13820,"Birmingham, AL",2023,8,0.2014736539039103,-0.029831506365159945,0.1830996179180202,0.051615468274453784,0.02827071209227991,-0.03168063801568368,29
39300,"Providence-Warwick, RI-MA",2023,8,0.19578931803863647,-0.213533402421118,0.3000673433717132,-0.033146521758002714,0.15361631818895877,-0.011214419342914797,30
25540,"Hartford-West Hartford-East Hartford, CT",2023,8,0.19476865217926564,-0.2213307552865657,0.2553442141314352,-0.0010410108380126057,0.1474117104602086,0.014384493712200158,31
10740,"Albuquerque, NM",2023,8,0.1894952052191668,-0.020715250659479965,0.1680789694761636,0.022090369176781196,0.08389184567768676,-0.0638507284519848,32
35840,"North Port-Bradenton-Sarasota, FL",2023,8,0.18596911057172483,0.9067591889017006,-0.5819722845587774,-0.10602713740661128,-0.05053804061235372,0.01774738424776662,33
19780,"Des Moines-West Des Moines, IA",2023,8,0.1786018225620671,0.12479541626735802,-0.09252487769516791,0.1575125606166508,-0.012307668219765686,0.0011263915929918577,34
24340,"Grand Rapids-Wyoming-Kentwood, MI",2023,8,0.15510510109121614,-0.05259877498369657,0.13853695230397375,0.050069628440759004,0.04556499213794244,-0.02646769680776248,35
40380,"Rochester, NY",2023,8,0.1525008437972386,-0.18556751210722694,0.27585372483860765,-0.029764123481346154,0.0807387396786241,0.011240014868579963,36
26900,"Indianapolis-Carmel-Greenwood, IN",2023,8,0.1461318562731251,0.03318343413888266,-0.030066084382847566,0.0848593633932458,0.0553722099432882,0.0027829331805560302,37
42540,"Scranton--Wilkes-Barre, PA",2023,8,0.14161533409517343,-0.16572382274347355,0.31431211311550566,-0.023282596572311867,0.019707489449693007,-0.0033978491542398094,38
22220,"Fayetteville-Springdale-Rogers, AR",2023,8,0.13729958417855553,0.41112166788742865,-0.4809970271435066,0.17859423900869412,0.1474017785611833,-0.11882107413524395,39
31140,"Louisville/Jefferson County, KY-IN",2023,8,0.11984935653723464,-0.08802394583406661,0.02472686287355924,0.09651360878243047,0.07473521305612572,0.011897617659185818,40
